Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,384.3699951171875,386.42999267578125,377.8299865722656,380.82000732421875,372.7542724609375,74850700
2023-01-04,383.17999267578125,385.8800048828125,380.0,383.760009765625,375.6319580078125,85934100
2023-01-05,381.7200012207031,381.8399963378906,378.760009765625,379.3800048828125,371.3447570800781,76970500
2023-01-06,382.6099853515625,389.25,379.4100036621094,388.0799865722656,379.8604736328125,104189600
2023-01-09,390.3699951171875,393.70001220703125,387.6700134277344,387.8599853515625,379.6451416015625,73978100
2023-01-10,387.25,390.6499938964844,386.2699890136719,390.5799865722656,382.30755615234375,65358100
2023-01-11,392.2300109863281,395.6000061035156,391.3800048828125,395.5199890136719,387.1429138183594,68881100
2023-01-12,396.6700134277344,398.489990234375,392.4200134277344,396.9599914550781,388.5523986816406,90157700
2023-01-13,393.6199951171875,399.1000061035156,393.3399963378906,398.5,390.05975341796875,63903900
2023-01-17,398.4800109863281,400.2300109863281,397.05999755859375,397.7699890136719,389.3452453613281,62677300
2023-01-18,399.010009765625,400.1199951171875,391.2799987792969,391.489990234375,383.1982727050781,99632300
2023-01-19,389.3599853515625,391.0799865722656,387.260009765625,388.6400146484375,380.4086608886719,86958900
2023-01-20,390.1000061035156,396.0400085449219,388.3800048828125,395.8800048828125,387.4953308105469,91806400
2023-01-23,396.7200012207031,402.6499938964844,395.7200012207031,400.6300048828125,392.1446838378906,84178800
2023-01-24,398.8800048828125,401.1499938964844,397.6400146484375,400.20001220703125,391.7237854003906,59524900
2023-01-25,395.95001220703125,400.70001220703125,393.55999755859375,400.3500061035156,391.87060546875,84800300
2023-01-26,403.1300048828125,404.9200134277344,400.0299987792969,404.75,396.17742919921875,72287400
2023-01-27,403.6600036621094,408.1600036621094,403.44000244140625,405.67999267578125,397.08770751953125,68346200
2023-01-30,402.79998779296875,405.1300048828125,400.2799987792969,400.5899963378906,392.10552978515625,74202000
2023-01-31,401.1300048828125,406.5299987792969,400.7699890136719,406.4800109863281,397.87078857421875,86811800
2023-02-01,405.2099914550781,413.6700134277344,402.3500061035156,410.79998779296875,402.0992736816406,101459200
2023-02-02,414.8599853515625,418.30999755859375,412.8800048828125,416.7799987792969,407.95263671875,101654500
2023-02-03,411.5899963378906,416.9700012207031,411.0899963378906,412.3500061035156,403.616455078125,94736800
2023-02-06,409.7900085449219,411.2900085449219,408.1000061035156,409.8299865722656,401.1497802734375,60295300
2023-02-07,408.8699951171875,416.489990234375,407.57000732421875,415.19000244140625,406.39630126953125,90990700
2023-02-08,413.1300048828125,414.5299987792969,409.92999267578125,410.6499938964844,401.95245361328125,76227500
2023-02-09,414.4100036621094,414.57000732421875,405.80999755859375,407.0899963378906,398.4678649902344,78694900
2023-02-10,405.8599853515625,408.44000244140625,405.010009765625,408.0400085449219,399.39776611328125,70769700
2023-02-13,408.7200012207031,412.9700012207031,408.239990234375,412.8299865722656,404.0862731933594,64913500
2023-02-14,411.239990234375,415.04998779296875,408.510009765625,412.6400146484375,403.90032958984375,88389300
2023-02-15,410.3500061035156,414.05999755859375,409.4700012207031,413.9800109863281,405.2119445800781,61555700
2023-02-16,408.7900085449219,412.9100036621094,408.1400146484375,408.2799987792969,399.6326904296875,76431500
2023-02-17,406.05999755859375,407.510009765625,404.04998779296875,407.260009765625,398.6342468261719,89257800
2023-02-21,403.05999755859375,404.1600036621094,398.82000732421875,399.0899963378906,390.6372985839844,82655900
2023-02-22,399.5199890136719,401.1300048828125,397.0199890136719,398.5400085449219,390.0989685058594,83742300
